date_mutation,valeur_fonciere,code_postal,type_local,surface_m2,nb_pieces,surface_terrain,arrondissement,prix_m2
12/01/2024,270000.0,75009,Local industriel. commercial ou assimilé,40.0,0.0,,9,6750.0
03/01/2024,155000.0,75020,Local industriel. commercial ou assimilé,31.0,0.0,,20,5000.0
09/01/2024,1206130.0,75018,Local industriel. commercial ou assimilé,165.0,0.0,,18,7310.0
09/01/2024,1206130.0,75018,Appartement,48.0,3.0,,18,25128.0
09/01/2024,314500.0,75018,Appartement,26.0,2.0,,18,12096.0
09/01/2024,1932720.0,75018,Appartement,51.0,3.0,,18,37896.0
09/01/2024,1932720.0,75018,Appartement,65.0,3.0,,18,29734.0
09/01/2024,1932720.0,75018,Appartement,44.0,2.0,,18,43925.0
11/01/2024,839470.0,75010,Appartement,82.0,4.0,,10,10237.0
09/01/2024,483000.0,75018,Appartement,37.0,2.0,,18,13054.0
05/01/2024,320000.0,75019,Appartement,48.0,3.0,,19,6667.0
12/01/2024,316000.0,75018,Appartement,40.0,2.0,,18,7900.0
05/01/2024,416000.0,75010,Appartement,36.0,2.0,,10,11556.0
09/01/2024,730000.0,75009,Appartement,49.0,2.0,,9,14898.0
08/01/2024,685000.0,75018,Appartement,79.0,3.0,,18,8671.0
09/01/2024,252000.0,75009,Appartement,27.0,1.0,,9,9333.0
15/01/2024,169140.0,75020,Appartement,14.0,1.0,,20,12081.0
12/01/2024,563900.0,75020,Appartement,63.0,3.0,,20,8951.0
16/01/2024,148000.0,75010,Appartement,12.0,0.0,,10,12333.0
05/01/2024,465000.0,75010,Appartement,56.0,3.0,,10,8304.0
17/01/2024,267500.0,75019,Appartement,32.0,1.0,,19,8359.0
12/01/2024,1300000.0,75020,Local industriel. commercial ou assimilé,193.0,0.0,,20,6736.0
15/01/2024,3275000.0,75008,Appartement,115.0,4.0,,8,28478.0
10/01/2024,630000.0,75020,Appartement,64.0,3.0,,20,9844.0
05/01/2024,285500.0,75010,Appartement,38.0,2.0,,10,7513.0
08/01/2024,516000.0,75019,Appartement,57.0,3.0,,19,9053.0
12/01/2024,195110.0,75018,Appartement,18.0,1.0,,18,10839.0
15/01/2024,487000.0,75018,Appartement,49.0,3.0,,18,9939.0
12/01/2024,3000000.0,75008,Local industriel. commercial ou assimilé,96.0,0.0,,8,31250.0
03/01/2024,1450000.0,75018,Appartement,75.0,4.0,,18,19333.0
09/01/2024,607750.0,75017,Appartement,68.0,3.0,,17,8938.0
10/01/2024,365000.0,75009,Appartement,26.0,2.0,,9,14038.0
16/01/2024,284580.0,75019,Appartement,35.0,2.0,,19,8131.0
09/01/2024,315000.0,75004,Appartement,23.0,2.0,,4,13696.0
03/01/2024,221000.0,75003,Appartement,20.0,1.0,,3,11050.0
12/01/2024,339500.0,75017,Appartement,31.0,2.0,,17,10952.0
12/01/2024,291000.0,75020,Maison,32.0,2.0,,20,9094.0
11/01/2024,300000.0,75020,Appartement,31.0,1.0,,20,9677.0
09/01/2024,1450000.0,75018,Local industriel. commercial ou assimilé,246.0,0.0,,18,5894.0
17/01/2024,425000.0,75018,Local industriel. commercial ou assimilé,49.0,0.0,,18,8673.0
08/01/2024,4535000.0,75008,Local industriel. commercial ou assimilé,225.0,0.0,,8,20156.0
12/01/2024,1000000.0,75003,Appartement,97.0,6.0,,3,10309.0
16/01/2024,708750.0,75004,Appartement,218.0,6.0,,4,3251.0
12/01/2024,750047.6,75018,Appartement,48.0,2.0,,18,15626.0
12/01/2024,400000.0,75019,Appartement,48.0,2.0,,19,8333.0
16/01/2024,925000.0,75008,Appartement,63.0,2.0,,8,14683.0
18/01/2024,387000.0,75018,Appartement,45.0,2.0,,18,8600.0
05/01/2024,1530000.0,75003,Appartement,50.0,1.0,,3,30600.0
10/01/2024,320000.0,75019,Appartement,32.0,2.0,,19,10000.0
12/01/2024,262000.0,75001,Appartement,23.0,1.0,,1,11391.0
17/01/2024,193000.0,75020,Appartement,23.0,1.0,,20,8391.0
19/01/2024,595000.0,75017,Appartement,50.0,3.0,,17,11900.0
19/01/2024,195000.0,75020,Appartement,24.0,1.0,,20,8125.0
16/01/2024,370800.0,75017,Appartement,44.0,2.0,,17,8427.0
17/01/2024,350000.0,75020,Appartement,50.0,2.0,,20,7000.0
